"","Description","daGAL4_plus1","daGAL4_plus2","daGAL4_plus3","daGAL4_plus4","daGAL4_plus5","daGAL4_Ab_ARC1","daGAL4_Ab_ARC2","daGAL4_Ab_ARC3","daGAL4_Ab_ARC4","daGAL4_Ab_ARC5","logFC","adj.P.Val","gene_name","symbol","cutoff1"
"842","AMP deaminase OS=Drosophila melanogaster GN=AMPdeam PE=1 SV=1",6.749,6.954,6.957,6.674,6.77,6.245,6.472,6.116,6.203,6.145,-0.585,0.004,"AMP deaminase","AMPdeam","no_change"
"843","Fatty acid bindin protein, isoform B OS=Drosophila melanogaster GN=fabp PE=1 SV=1",10.47,10.48,10.446,10.468,10.601,10.451,10.413,10.417,10.36,10.533,-0.058,0.402,"Fatty acid bindin protein, isoform B","fabp","no_change"
"844","Glutathione S transferase T1 OS=Drosophila melanogaster GN=GstT1 PE=1 SV=1",9.526,9.448,9.371,9.402,9.372,9.357,9.488,9.628,9.728,10.121,0.241,0.142,"Glutathione S transferase T1","GstT1","no_change"
"845","RutC family protein UK114 OS=Drosophila melanogaster GN=UK114 PE=2 SV=1",9.572,9.715,9.639,9.592,9.638,9.497,9.633,9.741,9.751,9.757,0.044,0.594,"RutC family protein UK114","UK114","no_change"
"846","Uncharacterized protein OS=Drosophila melanogaster GN=CG14742 PE=4 SV=1",9.029,9.403,9.278,9.225,9.193,9.221,9.316,9.003,8.848,8.814,-0.185,0.196,"Uncharacterized protein","CG14742","no_change"
"847","Ubiquitin carboxyl-terminal hydrolase 7 OS=Drosophila melanogaster GN=Usp7 PE=1 SV=1",9.56,9.43,9.497,9.465,9.512,9.471,9.588,9.63,9.658,9.582,0.093,0.183,"Ubiquitin carboxyl-terminal hydrolase 7","Usp7","no_change"
"848","CG2930, isoform E OS=Drosophila melanogaster GN=CG2930 PE=1 SV=1",9.551,9.737,9.623,9.583,9.7,9.445,9.596,9.434,9.284,9.37,-0.213,0.039,"CG2930, isoform E","CG2930","no_change"
"849","Mf5 protein OS=Drosophila melanogaster GN=Mf PE=1 SV=2",9.708,9.388,9.632,9.312,9.308,9.431,9.363,9.561,9.66,11.139,0.362,0.349,"Mf5 protein","Mf","no_change"
"850","Probable cysteine desulfurase, mitochondrial OS=Drosophila melanogaster GN=CG12264 PE=2 SV=1",8.963,8.621,8.896,8.766,8.759,8.775,8.97,9.099,9.321,9.522,0.336,0.07,"Probable cysteine desulfurase, mitochondrial","CG12264","no_change"
"851","GH01724p OS=Drosophila melanogaster GN=p47 PE=1 SV=1",8.924,8.91,8.903,8.93,8.911,8.963,8.985,9.064,9.088,8.911,0.087,0.187,"GH01724p","p47","no_change"
"852","Nucleoporin 98-96kD, isoform A OS=Drosophila melanogaster GN=Nup98-96 PE=1 SV=3",7.609,7.592,7.615,7.624,7.676,7.619,7.8,7.788,7.878,7.914,0.176,0.051,"Nucleoporin 98-96kD, isoform A","Nup98-96","no_change"
"853","RE23984p OS=Drosophila melanogaster GN=Trp1 PE=1 SV=1",8.699,8.654,8.679,8.725,8.807,8.735,8.729,8.689,8.655,8.708,-0.01,0.89,"RE23984p","Trp1","no_change"
"854","General odorant-binding protein 19d OS=Drosophila melanogaster GN=Obp19d PE=2 SV=2",9.711,9.817,9.735,9.588,9.788,9.575,9.63,9.68,9.635,9.881,-0.047,0.61,"General odorant-binding protein 19d","Obp19d","no_change"
"855","DE-cadherin OS=Drosophila melanogaster GN=shg PE=1 SV=2",9.109,9.339,9.146,9.207,9.126,9.183,9.064,8.974,8.9,8.908,-0.18,0.074,"DE-cadherin","shg","no_change"
"856","rRNA 2'-O-methyltransferase fibrillarin OS=Drosophila melanogaster GN=Fib PE=2 SV=1",10.065,9.847,10.044,9.875,9.873,9.784,9.982,9.969,10.086,10.195,0.063,0.565,"rRNA 2'-O-methyltransferase fibrillarin","Fib","no_change"
"857","Lysine ketoglutarate reductase/saccharopine dehydrogenase, isoform A OS=Drosophila melanogaster GN=LKRSDH PE=1 SV=2",9.432,9.656,9.444,9.284,9.426,9.483,9.379,9.694,9.655,9.665,0.127,0.249,"Lysine ketoglutarate reductase/saccharopine dehydrogenase, isoform A","LKRSDH","no_change"
"858","LD23868p OS=Drosophila melanogaster GN=CG16721 PE=1 SV=1",8.434,8.361,8.38,8.273,8.427,8.353,8.471,8.447,8.408,8.435,0.048,0.472,"LD23868p","CG16721","no_change"
"859","Chromator, isoform A OS=Drosophila melanogaster GN=Chro PE=1 SV=1",8.44,8.346,8.506,8.37,8.427,8.48,8.44,8.387,8.416,8.397,0.006,0.934,"Chromator, isoform A","Chro","no_change"
"860","GH13992p OS=Drosophila melanogaster GN=shrb PE=1 SV=1",9.353,9.446,9.436,9.461,9.392,9.268,9.376,9.339,9.243,9.276,-0.117,0.086,"GH13992p","shrb","no_change"
"861","CG6523 OS=Drosophila melanogaster GN=Grx3 PE=1 SV=1",9.537,9.308,9.526,9.377,9.466,9.285,9.382,9.346,9.431,9.448,-0.064,0.42,"CG6523","Grx3","no_change"
"862","Acyl-coenzyme A oxidase OS=Drosophila melanogaster GN=Dmel\CG9527 PE=1 SV=1",9.535,9.408,9.496,9.339,9.477,9.379,9.372,9.492,9.509,9.702,0.04,0.681,"Acyl-coenzyme A oxidase","Dmel\CG9527","no_change"
"863","Histone PARylation factor 1-like OS=Drosophila melanogaster GN=CG1218 PE=1 SV=2",9.372,9.476,9.541,9.615,9.382,9.616,9.699,9.647,9.63,9.369,0.115,0.247,"Histone PARylation factor 1-like","CG1218","no_change"
"864","GH07286p OS=Drosophila melanogaster GN=CG13850 PE=1 SV=3",9.347,9.363,9.311,9.287,9.322,9.117,9.223,9.207,9.291,9.488,-0.061,0.497,"GH07286p","CG13850","no_change"
"865","Ribosome biogenesis protein WDR12 homolog OS=Drosophila melanogaster GN=CG6724 PE=2 SV=1",8.733,8.541,8.701,8.495,8.655,8.495,8.635,8.694,8.865,9.06,0.125,0.345,"Ribosome biogenesis protein WDR12 homolog","CG6724","no_change"
"866","Uncharacterized protein, isoform I OS=Drosophila melanogaster GN=CG43143 PE=4 SV=1",8.674,8.901,8.754,8.76,8.814,8.716,8.565,8.326,8.342,8.519,-0.287,0.028,"Uncharacterized protein, isoform I","CG43143","no_change"
"867","CG10206-PA OS=Drosophila melanogaster GN=nop5 PE=1 SV=2",9.448,9.538,9.431,9.435,9.333,9.332,9.388,9.305,9.373,9.446,-0.068,0.33,"CG10206-PA","nop5","no_change"
"868","26S proteasome non-ATPase regulatory subunit 6 OS=Drosophila melanogaster GN=Rpn7 PE=2 SV=1",9.176,8.876,9.094,8.98,8.9,9.102,9.367,9.585,9.697,9.858,0.516,0.021,"26S proteasome non-ATPase regulatory subunit 6","Rpn7","no_change"
"869","Unc-115a, isoform B OS=Drosophila melanogaster GN=Unc-115a PE=1 SV=1",9.089,9.449,9.087,9.218,9.21,8.871,8.994,8.948,8.875,9.055,-0.262,0.03,"Unc-115a, isoform B","Unc-115a","no_change"
"870","CathD OS=Drosophila melanogaster GN=cathD PE=1 SV=1",9.768,9.576,9.548,9.801,9.625,10.155,9.758,9.804,9.755,9.753,0.181,0.135,"CathD","cathD","no_change"
"871","Regulatory particle non-ATPase 8, isoform B OS=Drosophila melanogaster GN=Rpn8 PE=4 SV=1",9.219,8.646,8.891,8.724,8.789,9.083,9.392,9.876,10.086,10.129,0.859,0.017,"Regulatory particle non-ATPase 8, isoform B","Rpn8","no_change"
"872","Transgelin OS=Drosophila melanogaster GN=Chd64 PE=1 SV=2",9.988,9.846,9.771,9.856,9.949,9.907,9.748,9.794,9.777,9.959,-0.045,0.587,"Transgelin","Chd64","no_change"
"873","La protein homolog OS=Drosophila melanogaster GN=La PE=1 SV=2",9.316,9.424,9.353,9.351,9.215,9.383,9.485,9.5,9.466,9.461,0.127,0.086,"La protein homolog","La","no_change"
"874","Eukaryotic translation initiation factor 3 subunit E OS=Drosophila melanogaster GN=eIF3-S6 PE=1 SV=1",9.715,9.378,9.632,9.491,9.48,9.682,9.745,9.765,9.757,9.794,0.21,0.041,"Eukaryotic translation initiation factor 3 subunit E","eIF3-S6","no_change"
"875","Putative ATP synthase subunit f, mitochondrial OS=Drosophila melanogaster GN=CG4692 PE=3 SV=1",10.295,10.247,10.26,10.184,10.409,10.404,10.128,10.105,10.191,10.373,-0.039,0.701,"Putative ATP synthase subunit f, mitochondrial","CG4692","no_change"
"876","AT07710p OS=Drosophila melanogaster GN=CG7910 PE=2 SV=1",9.433,9.266,9.387,9.186,9.364,9.073,9.463,9.458,9.341,9.697,0.079,0.564,"AT07710p","CG7910","no_change"
"877","Lipid storage droplet-1, isoform D OS=Drosophila melanogaster GN=Lsd-1 PE=1 SV=1",9.186,9.235,9.306,9.07,9.3,8.883,8.988,9.105,9.378,9.799,0.011,0.96,"Lipid storage droplet-1, isoform D","Lsd-1","no_change"
"878","AT01533p OS=Drosophila melanogaster GN=Dmel\CG33129 PE=1 SV=2",9.658,9.314,9.527,9.435,9.468,9.689,9.823,10.021,10.155,10.248,0.507,0.014,"AT01533p","Dmel\CG33129","no_change"
"879","60S ribosomal protein L8 OS=Drosophila melanogaster GN=RpL8 PE=1 SV=1",8.956,8.122,8.76,8.399,8.443,8.856,8.986,9.236,9.797,10.365,0.912,0.034,"60S ribosomal protein L8","RpL8","no_change"
"880","Menage a trois, isoform D OS=Drosophila melanogaster GN=metro PE=1 SV=1",9.536,9.753,9.618,9.543,9.645,9.495,9.46,9.312,9.292,9.221,-0.263,0.023,"Menage a trois, isoform D","metro","no_change"
"881","CG5080, isoform A OS=Drosophila melanogaster GN=CT16297 PE=1 SV=1",9.407,9.395,9.344,9.482,9.524,9.426,9.421,9.427,9.374,9.383,-0.024,0.72,"CG5080, isoform A","CT16297","no_change"
"882","Cuticular protein 47Ef, isoform C OS=Drosophila melanogaster GN=Cpr47Ef PE=4 SV=2",8.337,8.552,8.281,8.351,8.347,7.907,7.918,7.555,7.472,7.983,-0.606,0.007,"Cuticular protein 47Ef, isoform C","Cpr47Ef","no_change"
"883","CG2233 OS=Drosophila melanogaster GN=CG2233 PE=1 SV=1",8.829,8.514,8.607,9.06,8.752,10.309,9.459,10.447,10.366,10.198,1.404,0.002,"CG2233","CG2233","up"
"884","Endonuclease G inhibitor, isoform A OS=Drosophila melanogaster GN=EndoGI PE=1 SV=1",9.399,8.91,9.208,9.055,9.229,9.241,9.435,9.619,9.622,9.662,0.355,0.033,"Endonuclease G inhibitor, isoform A","EndoGI","no_change"
"885","Facilitated trehalose transporter Tret1-1 OS=Drosophila melanogaster GN=Tret1-1 PE=1 SV=1",9.694,9.839,9.7,9.809,9.773,9.701,9.661,9.531,9.416,9.45,-0.211,0.041,"Facilitated trehalose transporter Tret1-1","Tret1-1","no_change"
"886","Nuclear export mediator factor NEMF homolog OS=Drosophila melanogaster GN=Clbn PE=1 SV=2",8.674,8.825,8.659,8.848,8.719,8.756,8.79,8.652,8.796,8.645,-0.017,0.836,"Nuclear export mediator factor NEMF homolog","Clbn","no_change"
"887","FI04459p OS=Drosophila melanogaster GN=Sf3b3 PE=1 SV=2",8.875,8.875,8.837,8.882,8.841,8.914,8.899,8.963,9.017,8.887,0.074,0.224,"FI04459p","Sf3b3","no_change"
"888","Adenosylhomocysteinase OS=Drosophila melanogaster GN=AhcyL1 PE=1 SV=1",9.355,9.387,9.296,9.239,9.345,9.223,9.229,9.175,9.152,9.176,-0.134,0.057,"Adenosylhomocysteinase","AhcyL1","no_change"
"889","Dis3, isoform A OS=Drosophila melanogaster GN=Dis3 PE=1 SV=1",8.747,8.7,8.783,8.761,8.748,8.751,8.742,8.589,8.595,8.533,-0.106,0.164,"Dis3, isoform A","Dis3","no_change"
"890","Nervous wreck, isoform I OS=Drosophila melanogaster GN=nwk PE=1 SV=1",9.703,9.954,9.817,9.791,9.809,9.608,9.63,9.462,9.347,9.391,-0.327,0.015,"Nervous wreck, isoform I","nwk","no_change"
"891","Target of rapamycin, isoform B OS=Drosophila melanogaster GN=Tor PE=1 SV=1",8.517,8.551,8.466,8.563,8.555,8.588,8.486,8.439,8.327,8.368,-0.089,0.248,"Target of rapamycin, isoform B","Tor","no_change"
"892","CG7322, isoform A OS=Drosophila melanogaster GN=CG7322 PE=1 SV=1",9.473,8.937,8.929,8.882,9.267,9.271,9.435,9.839,10.017,10.187,0.652,0.028,"CG7322, isoform A","CG7322","no_change"
"893","Histone deacetylase OS=Drosophila melanogaster GN=HDAC6 PE=1 SV=1",9.669,9.599,9.667,9.48,9.714,9.511,9.555,9.655,9.692,9.651,-0.013,0.884,"Histone deacetylase","HDAC6","no_change"
"894","Putative hydroxypyruvate isomerase OS=Drosophila melanogaster GN=Gip PE=2 SV=1",9.604,9.604,9.395,9.483,9.616,9.472,9.52,9.743,9.894,10.062,0.198,0.179,"Putative hydroxypyruvate isomerase","Gip","no_change"
"895","CG9330 OS=Drosophila melanogaster GN=Dmel\CG9330 PE=1 SV=1",9.087,8.794,8.926,8.837,8.786,9.01,9.097,9.132,9.205,9.143,0.231,0.032,"CG9330","Dmel\CG9330","no_change"
"896","CG9509, isoform A OS=Drosophila melanogaster GN=CG9509 PE=3 SV=1",9.851,9.857,9.755,9.502,9.898,9.66,9.622,9.922,9.758,10.026,0.025,0.86,"CG9509, isoform A","CG9509","no_change"
"897","S-methyl-5'-thioadenosine phosphorylase OS=Drosophila melanogaster GN=Mtap PE=2 SV=1",9.977,10.024,9.96,9.94,9.959,9.822,9.876,9.882,9.758,9.81,-0.142,0.044,"S-methyl-5'-thioadenosine phosphorylase","Mtap","no_change"
"898","Protein tumorous imaginal discs, mitochondrial OS=Drosophila melanogaster GN=l(2)tid PE=1 SV=2",3.995,4.392,4.213,4.163,4.525,3.888,4.059,4.079,3.51,3.524,-0.446,0.038,"Protein tumorous imaginal discs, mitochondrial","l(2)tid","no_change"
"899","Structural maintenance of chromosomes protein OS=Drosophila melanogaster GN=SMC2 PE=1 SV=1",8.565,8.385,8.606,8.652,8.356,8.764,8.918,8.958,8.956,8.67,0.34,0.018,"Structural maintenance of chromosomes protein","SMC2","no_change"
"900","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Drosophila melanogaster GN=ND-19 PE=1 SV=1",9.249,9.076,9.196,9.108,9.184,9.237,9.235,9.332,9.592,10.257,0.368,0.117,"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8","ND-19","no_change"
"901","40S ribosomal protein S18 OS=Drosophila melanogaster GN=RpS18 PE=1 SV=1",10.245,9.797,10.099,9.957,9.95,10.249,10.4,10.45,10.801,11.07,0.585,0.022,"40S ribosomal protein S18","RpS18","no_change"
"902","CG4882, isoform A OS=Drosophila melanogaster GN=CG4882 PE=1 SV=1",9.629,9.407,9.546,9.317,9.46,9.539,9.725,9.999,10.108,10.046,0.412,0.025,"CG4882, isoform A","CG4882","no_change"
"903","Rabconnectin-3B, isoform A OS=Drosophila melanogaster GN=Rbcn-3B PE=1 SV=1",9.045,9.024,9.082,9.029,9.137,9.046,9.141,9.1,9.096,9.275,0.068,0.346,"Rabconnectin-3B, isoform A","Rbcn-3B","no_change"
"904","Beta-alanine synthase OS=Drosophila melanogaster GN=pyd3 PE=1 SV=2",9.678,9.641,9.649,9.576,9.694,9.566,9.657,9.812,9.795,9.933,0.105,0.256,"Beta-alanine synthase","pyd3","no_change"
"905","Fatty acid (Long chain) transport protein, isoform F OS=Drosophila melanogaster GN=Fatp PE=1 SV=3",9.858,9.831,9.834,9.757,9.912,9.655,9.743,9.695,9.626,9.681,-0.158,0.037,"Fatty acid (Long chain) transport protein, isoform F","Fatp","no_change"
"906","Ran-binding protein M, isoform G OS=Drosophila melanogaster GN=RanBPM PE=1 SV=1",8.272,8.189,8.258,8.057,8.118,8.301,8.369,8.535,8.757,8.643,0.343,0.023,"Ran-binding protein M, isoform G","RanBPM","no_change"
"907","FI19380p1 OS=Drosophila melanogaster GN=mfas PE=1 SV=1",9.324,9.244,9.25,9.292,9.273,9.291,9.089,8.968,9.112,9.224,-0.14,0.111,"FI19380p1","mfas","no_change"
"908","Vermiform, isoform I OS=Drosophila melanogaster GN=verm PE=1 SV=1",8.473,8.538,8.431,8.409,8.583,8.115,8.156,8.065,8.089,8.104,-0.381,0.003,"Vermiform, isoform I","verm","no_change"
"909","Fatty acyl-CoA reductase OS=Drosophila melanogaster GN=CG10097 PE=1 SV=3",8.458,8.369,8.475,8.262,8.392,7.967,8.36,8.425,8.556,8.775,0.025,0.889,"Fatty acyl-CoA reductase","CG10097","no_change"
"910","Kinesin-like protein OS=Drosophila melanogaster GN=Klp10A PE=1 SV=1",8.502,8.652,8.68,8.572,8.305,8.718,8.786,8.67,8.672,8.359,0.099,0.424,"Kinesin-like protein","Klp10A","no_change"
"911","Annexin OS=Drosophila melanogaster GN=AnxB9 PE=1 SV=1",10.128,9.988,9.959,9.888,10.069,9.892,9.894,10.11,10.209,10.732,0.161,0.388,"Annexin","AnxB9","no_change"
"912","E3 UFM1-protein ligase 1 homolog OS=Drosophila melanogaster GN=Ufl1 PE=2 SV=1",9.084,8.841,8.929,8.803,8.983,9.174,8.987,9.176,9.208,9.324,0.246,0.036,"E3 UFM1-protein ligase 1 homolog","Ufl1","no_change"
"913","Obg-like ATPase 1 OS=Drosophila melanogaster GN=CG1354 PE=1 SV=1",10.551,10.397,10.427,10.458,10.387,10.398,10.593,10.666,10.658,10.629,0.145,0.1,"Obg-like ATPase 1","CG1354","no_change"
"914","Ubiquitin carboxyl-terminal hydrolase OS=Drosophila melanogaster GN=Uch-L5 PE=1 SV=1",9.406,8.997,9.304,9.031,9.136,9.257,9.634,9.798,9.913,9.866,0.518,0.02,"Ubiquitin carboxyl-terminal hydrolase","Uch-L5","no_change"
"915","CG6841, isoform A OS=Drosophila melanogaster GN=BcDNA:LD43276 PE=1 SV=2",8.639,8.601,8.661,8.665,8.594,8.595,8.651,8.652,8.648,8.59,-0.005,0.939,"CG6841, isoform A","BcDNA:LD43276","no_change"
"916","CG9510, isoform B OS=Drosophila melanogaster GN=BEST:GH06087 PE=1 SV=3",9.401,9.537,9.224,9.282,9.517,9.426,9.324,9.405,9.455,9.593,0.049,0.634,"CG9510, isoform B","BEST:GH06087","no_change"
"917","Serine hydroxymethyltransferase OS=Drosophila melanogaster GN=CG3011 PE=1 SV=1",10.09,10.03,9.929,9.974,10.174,9.844,9.964,10.033,10.141,10.22,0.001,0.993,"Serine hydroxymethyltransferase","CG3011","no_change"
"918","Replication factor C subunit 1 OS=Drosophila melanogaster GN=Gnf1 PE=1 SV=2",8.994,8.769,9.115,8.921,8.671,8.967,9.215,9.228,9.215,8.975,0.226,0.087,"Replication factor C subunit 1","Gnf1","no_change"
"919","LD25118p OS=Drosophila melanogaster GN=mRpL37 PE=1 SV=3",9.69,9.614,9.626,9.68,9.593,9.55,9.785,9.79,9.795,9.668,0.077,0.329,"LD25118p","mRpL37","no_change"
"920","CG3714, isoform H OS=Drosophila melanogaster GN=AAF51037 PE=4 SV=1",9.294,9.233,9.278,9.203,9.188,9.313,9.35,9.281,9.278,9.339,0.073,0.228,"CG3714, isoform H","AAF51037","no_change"
"921","Mitochondrial ribosomal protein S5, isoform A OS=Drosophila melanogaster GN=mRpS5 PE=1 SV=1",9.945,9.725,9.914,9.849,9.843,9.943,10.027,10.01,10.012,10.031,0.15,0.057,"Mitochondrial ribosomal protein S5, isoform A","mRpS5","no_change"
"922","Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial OS=Drosophila melanogaster GN=l(2)04524 PE=2 SV=1",9.14,9.051,9.027,8.939,9.091,9.122,9.058,9.29,9.414,9.481,0.224,0.069,"Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","l(2)04524","no_change"
"923","Eukaryotic translation initiation factor 2A OS=Drosophila melanogaster GN=CG7414 PE=1 SV=1",9.202,9.224,9.208,9.249,9.211,9.098,9.26,9.323,9.31,9.144,0.008,0.921,"Eukaryotic translation initiation factor 2A","CG7414","no_change"
"924","Unc-112-related protein OS=Drosophila melanogaster GN=Fit1 PE=1 SV=1",8.983,9.08,8.957,8.917,8.956,8.784,8.838,8.833,8.914,9.01,-0.103,0.181,"Unc-112-related protein","Fit1","no_change"
"925","Integrin alpha-PS2 OS=Drosophila melanogaster GN=if PE=1 SV=2",9.105,9.17,9.091,9.03,9.3,9.087,9.055,8.988,8.927,9.034,-0.121,0.143,"Integrin alpha-PS2","if","no_change"
"926","26S proteasome regulatory complex subunit p39A OS=Drosophila melanogaster GN=Rpn9 PE=1 SV=1",9.892,9.43,9.674,9.533,9.48,9.686,10.041,10.308,10.584,10.709,0.664,0.025,"26S proteasome regulatory complex subunit p39A","Rpn9","no_change"
"927","C-type lectin 27kD, isoform A OS=Drosophila melanogaster GN=Clect27 PE=1 SV=1",9.685,9.2,9.361,9.055,9.379,9.055,9.25,9.32,9.386,9.673,0.001,0.997,"C-type lectin 27kD, isoform A","Clect27","no_change"
"928","Rat1 5'-3' exoribonuclease, isoform B OS=Drosophila melanogaster GN=Rat1 PE=1 SV=1",8.476,8.828,8.684,8.717,8.558,8.361,8.37,8.142,8.127,8.011,-0.45,0.011,"Rat1 5'-3' exoribonuclease, isoform B","Rat1","no_change"
"929","BcDNA.LD23634 OS=Drosophila melanogaster GN=BcDNA.LD23634 PE=1 SV=1",8.185,8.541,8.423,8.602,8.344,8.483,8.264,8.062,8.24,8.077,-0.194,0.149,"BcDNA.LD23634","BcDNA.LD23634","no_change"
"930","IA-2 protein tyrosine phosphatase, isoform C OS=Drosophila melanogaster GN=IA-2 PE=1 SV=4",8.126,8.501,8.382,8.37,8.398,8.194,8.24,7.889,7.906,7.883,-0.333,0.029,"IA-2 protein tyrosine phosphatase, isoform C","IA-2","no_change"
"931","CG5945, isoform A OS=Drosophila melanogaster GN=CT18564 PE=1 SV=1",9.537,9.523,9.57,9.411,9.577,9.289,9.39,9.249,9.405,9.487,-0.16,0.066,"CG5945, isoform A","CT18564","no_change"
"932","Uncharacterized protein OS=Drosophila melanogaster GN=CG31548 PE=1 SV=1",9.257,8.863,8.973,8.949,9.087,9.131,9.18,9.445,9.617,9.75,0.399,0.039,"Uncharacterized protein","CG31548","no_change"
"933","RE12410p OS=Drosophila melanogaster GN=CG10911 PE=2 SV=1",9.267,9.918,9.635,9.775,9.369,9.768,9.591,9.355,9.323,9.419,-0.102,0.564,"RE12410p","CG10911","no_change"
"934","CG1532, isoform A OS=Drosophila melanogaster GN=CG1532 PE=1 SV=1",8.637,8.725,8.631,8.518,8.479,8.56,8.647,8.817,8.632,8.617,0.056,0.522,"CG1532, isoform A","CG1532","no_change"
"935","Ensconsin, isoform F OS=Drosophila melanogaster GN=ens PE=1 SV=1",9.24,9.321,9.275,9.28,9.304,9.178,9.03,9.003,8.967,8.963,-0.256,0.013,"Ensconsin, isoform F","ens","no_change"
"936","Dynactin subunit 2 OS=Drosophila melanogaster GN=DCTN2-p50 PE=1 SV=1",8.893,8.345,8.759,8.449,8.513,8.878,8.859,9.02,9.084,9.085,0.393,0.024,"Dynactin subunit 2","DCTN2-p50","no_change"
"937","Crossveinless d OS=Drosophila melanogaster GN=cv-d PE=1 SV=2",9.066,8.925,8.916,8.997,9.009,9.136,9.197,9.151,9.193,9.228,0.198,0.02,"Crossveinless d","cv-d","no_change"
"938","Serine protease nudel OS=Drosophila melanogaster GN=ndl PE=1 SV=2",8.264,8.119,8.212,8.386,8.068,8.437,8.38,8.481,8.412,8.033,0.139,0.257,"Serine protease nudel","ndl","no_change"
"939","CG6907, isoform B OS=Drosophila melanogaster GN=Dmel\CG6907 PE=4 SV=1",7.779,7.671,7.758,7.724,7.6,7.857,7.896,8.178,8.27,8.288,0.391,0.018,"CG6907, isoform B","Dmel\CG6907","no_change"
"940","Glutactin OS=Drosophila melanogaster GN=Glt PE=1 SV=2",8.566,9.057,8.657,8.843,8.76,8.866,8.968,8.725,8.439,8.511,-0.075,0.639,"Glutactin","Glt","no_change"
"941","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial OS=Drosophila melanogaster GN=ND-ASHI PE=1 SV=1",10.048,10.061,10.11,9.952,9.941,10.067,10.138,10.153,10.17,10.393,0.162,0.089,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial","ND-ASHI","no_change"
"942","Glutathione peroxidase OS=Drosophila melanogaster GN=PHGPx PE=1 SV=1",10.662,10.844,10.742,10.714,10.72,10.624,10.664,10.562,10.412,10.431,-0.197,0.044,"Glutathione peroxidase","PHGPx","no_change"
"943","CG3270 OS=Drosophila melanogaster GN=CG3270-RA PE=1 SV=1",8.213,8.349,8.235,8.157,8.233,8.228,8.14,8.157,8.426,8.432,0.039,0.694,"CG3270","CG3270-RA","no_change"
"944","BcDNA.GH11973 OS=Drosophila melanogaster GN=rgn PE=1 SV=1",9.699,9.978,9.832,9.782,9.828,9.331,9.39,9.19,9.203,9.177,-0.565,0.001,"BcDNA.GH11973","rgn","no_change"
"945","CG4199, isoform B OS=Drosophila melanogaster GN=EG:22E5.5 PE=1 SV=1",9.183,9.249,9.252,9.238,9.221,9.353,9.482,9.6,9.586,9.487,0.273,0.012,"CG4199, isoform B","EG:22E5.5","no_change"
"946","Uncharacterized protein, isoform B OS=Drosophila melanogaster GN=Dmel\CG32164 PE=4 SV=1",9.429,9.269,9.303,9.341,9.203,9.28,9.529,9.766,10.084,10.23,0.469,0.048,"Uncharacterized protein, isoform B","Dmel\CG32164","no_change"
"947","Ergic53, isoform A OS=Drosophila melanogaster GN=ergic53 PE=1 SV=1",9.078,9.182,9.131,9.125,9.194,9.113,9.086,8.951,8.952,9.001,-0.121,0.098,"Ergic53, isoform A","ergic53","no_change"
"948","FI15274p1 OS=Drosophila melanogaster GN=CG8446-RE PE=1 SV=1",9.042,9.19,9.085,9.166,9.178,9.101,9.002,8.915,9.016,9.145,-0.096,0.216,"FI15274p1","CG8446-RE","no_change"
"949","CG4747, isoform B OS=Drosophila melanogaster GN=BEST:GH19401 PE=4 SV=1",5.818,5.711,5.552,5.352,5.64,5.699,5.9,6.039,6.084,6.235,0.377,0.031,"CG4747, isoform B","BEST:GH19401","no_change"
